idPhanLoai,idPhanLoaiCha,tenKhoaHoc,tenTiengViet,tenTiengAnh,bacPhanLoai_vi,bacPhanLoai_en,ghiChu
205,71.0,Lanius cristatus,Bách thanh mày trắng,Brown shrike,Loài,Species,
206,72.0,Merops philippinus,Trảu ngực nâu,Blue-tailed bee-eater,Loài,Species,
207,73.0,Copsychus saularis,Chích chòe than,Oriental magpie-robin,Loài,Species,
208,74.0,Dicaeum cruentatum,Chim sâu lưng đỏ,Scarlet-backed flowerpecker,Loài,Species,
209,75.0,Nectarinia jugularis,Hút mật họng tím,Olive-backed sunbird,Loài,Species,
210,75.0,Leptocoma brasiliana,Hút mật họng hồng,Van Hasselt's sunbird,Loài,Species,
211,76.0,Pandion haliaetus,Ó cá,Osprey,Loài,Species,
212,77.0,Phylloscopus griseolus,Chích bụng vàng,Sulphur-bellied warbler,Loài,Species,
213,78.0,Passer flaveolus,Sẻ bụi vàng,Plain-backed sparrow,Loài,Species,
214,78.0,Passer montanus,Sẻ,Eurasian tree sparrow,Loài,Species,
215,79.0,Lonchura punctulata,Di đá,Scaly-breasted munia / Spotted munia,Loài,Species,
216,79.0,Lonchura striata,Di cam,White-rumped munia,Loài,Species,
217,80.0,Pellorneum ruficeps,Chuối tiêu ngực đốm,Puff-throated babbler,Loài,Species,
218,81.0,Microcarbo niger,Còng cọc,Little cormorant,Loài,Species,
219,82.0,Dendrocopos canicapillus,Gõ kiến nhỏ đầu xám,Grey-capped pygmy woodpecker,Loài,Species,
220,83.0,Tachybaptus ruficollis,Le hôi,Little grebe,Loài,Species,
221,84.0,Pycnonotus blanfordi,Bông lau tai vằn,Streak-eared bulbul,Loài,Species,
222,84.0,Pycnonotus goiavier,Bông lau mày trắng,Yellow-vented bulbul,Loài,Species,
223,85.0,Amaurornis phoenicurus,Cuốc ngực trắng,White-breasted waterhen,Loài,Species,
224,85.0,Gallicrex cinerea,Cúm núm,Watercock,Loài,Species,
225,85.0,Gallinula chloropus,Trích ré,Common moorhen,Loài,Species,
226,85.0,Porphyrio porphyrio,Trích cồ,Purple swamphen,Loài,Species,
227,85.0,Porzana fusca,Cuốc ngực nâu,Ruddy-breasted crake,Loài,Species,
228,86.0,Ketupa flavipes,Dù dì hung,Tawny fish owl,Loài,Species,
229,86.0,Otus sunia,Cú mèo nhỏ,Oriental scops owl,Loài,Species,
230,87.0,Acridotheres tristis,Sáo nâu,Common myna,Loài,Species,
231,87.0,Sturnia malabarica,Sáo đá đuôi hung,Chestnut-tailed starling,Loài,Species,
232,87.0,Sturnia sinensis,Sáo đá Trung Quốc,White-shouldered starling,Loài,Species,
233,87.0,Sturnus nigricollis,Sáo sậu,Black-collared starling,Loài,Species,
234,88.0,Acrocephalus bistrigiceps,Chích đầu nhọn mày đen,Black-browed reed warbler,Loài,Species,
235,88.0,Acrocephalus orientalis,Chích đầu nhọn phương đông,Oriental reed warbler,Loài,Species,
236,89.0,Mixornis gularis,Chích chạch má vàng,Striped tit-babbler,Loài,Species,
237,89.0,Timalia pileata,Họa mi nhỏ,Chestnut-capped babbler,Loài,Species,
238,90.0,Megalurus palustris,Chiền chiện lớn,Striated grassbird,Loài,Species,
239,90.0,Locustella certhiola,Chích đầm lầy lớn,Pallas's grasshopper warbler,Loài,Species,
240,91.0,Tyto alba,Cú lợn lưng xám,Barn owl / Common barn owl,Loài,Species,
241,91.0,Phodilus badius,Cú lợn rừng,Oriental bay owl,Loài,Species,
242,92.0,Zosterops palpebrosus,Vành khuyên,Indian white-eye,Loài,Species,
243,93.0,Calotes mystaceus,Nhông xám,Blue-crested lizard / Indo-Chinese forest lizard,Loài,Species,
244,93.0,Calotes versicolor,Nhông hàng rào,Oriental garden lizard / Changeable lizard,Loài,Species,
245,94.0,Cuora amboinensis,Rùa hộp lưng đen,Southeast Asian box turtle / Malayan box turtle,Loài,Species,
246,94.0,Heosemys annandalii,Rùa răng,Yellow-headed temple turtle / Annandale's turtle,Loài,Species,
247,94.0,Heosemys grandis,Rùa đất lớn,Giant Asian pond turtle,Loài,Species,
248,94.0,Malayemys subtrijuga,Rùa ba gờ,Malayan snail-eating turtle,Loài,Species,
249,94.0,Mauremys mutica,Rùa câm,Asian yellow pond turtle / Chinese pond turtle,Loài,Species,
250,95.0,Boiga multomaculata,Rắn khô rào đốm,Many-spotted cat snake,Loài,Species,
251,95.0,Chrysopelea ornata,Rắn cườm,Ornate flying snake / Golden tree snake,Loài,Species,
252,95.0,Coelognathus radiatus,Rắn sọc dưa,Radiated ratsnake / Copper-headed trinket snake,Loài,Species,
253,95.0,Fowlea piscator,Rắn nước,Checkered keelback,Loài,Species,
254,95.0,Homalopsis mereljcoxi,Rắn ri cá,Masked water snake / Puff-faced water snake,Loài,Species,
255,95.0,Oligodon taeniatus,Rắn khiếm vạch,Streaked kukri snake,Loài,Species,
256,95.0,Ptyas korros,Rắn ráo thường,Chinese rat snake / Indo-Chinese rat snake,Loài,Species,
257,95.0,Ptyas mucosa,Rắn hổ hèo,Oriental rat snake / Common rat snake,Loài,Species,
258,95.0,Rhabdophis subminiatus,Rắn hoa cỏ nhỏ,Red-necked keelback,Loài,Species,
259,96.0,Cylindrophis ruffus,Rắn trun,Red-tailed pipe snake,Loài,Species,
260,97.0,Bungarus fasciatus,Rắn cạp nong,Banded krait,Loài,Species,
261,97.0,Calliophis maculiceps,Rắn lá khô đốm,Speckled coral snake / Small-spotted coral snake,Loài,Species,
262,97.0,Naja naja,Rắn hổ mang Ấn Độ,Indian cobra / Spectacled cobra,Loài,Species,
263,97.0,Naja siamensis,Rắn hổ mèo,Indochinese spitting cobra,Loài,Species,
264,97.0,Ophiophagus hannah,Rắn hổ chúa,King cobra,Loài,Species,
265,98.0,Gekko gecko,Tắc kè,Tokay gecko,Loài,Species,
266,98.0,Hemidactylus frenatus,Thạch sùng đuôi sần,Common house gecko / Asian house gecko,Loài,Species,
267,99.0,Enhydris enhydris,Rắn bông súng,Rainbow water snake,Loài,Species,
268,99.0,Enhydris innominata,Rắn hổ sậy,Burmese mud snake,Loài,Species,
269,99.0,Erpeton tentaculatum,Rắn râu,Tentacled snake,Loài,Species,
270,99.0,Hypsiscopus plumbea,Rắn bồng chì,Rice paddy snake,Loài,Species,
271,99.0,Subsessor bocourti,Rắn ri tượng,Bocourt's water snake,Loài,Species,
272,100.0,Takydromus sexlineatus,Liu điu chỉ,Asian grass lizard / Long-tailed grass lizard,Loài,Species,
273,101.0,Malayopython reticulatus,Trăn gấm,Reticulated python,Loài,Species,
274,101.0,Python bivittatus,Trăn đất,Burmese python,Loài,Species,
275,102.0,Eutropis multifasciata,Thằn lằn bóng hoa,East Indian brown mabuya / Many-lined sun skink,Loài,Species,
276,103.0,Ramphotyphlops braminus,Rắn giun,Brahminy blind snake / Flowerpot snake,Loài,Species,
277,104.0,Varanus bengalensis,Kỳ đà vân,Bengal monitor / Common Indian monitor,Loài,Species,
278,104.0,Varanus salvator,Kỳ đà hoa,Asian water monitor / Common water monitor,Loài,Species,
279,105.0,Trimeresurus albolabris,Rắn lục xanh đuôi đỏ,White-lipped pit viper / White-lipped tree viper,Loài,Species,
280,105.0,Trimeresurus stejnegeri,Rắn lục xanh,Chinese green tree viper / Stejneger's pit viper,Loài,Species,
281,106.0,Xenopeltis unicolor,Rắn hổ hành,Sunbeam snake,Loài,Species,
282,107.0,Duttaphrynus melanostictus,Cóc nhà,Asian common toad / Asian black-spined toad,Loài,Species,
283,107.0,Bufo galeatus,Cóc rừng,Helmeted toad,Loài,Species,
284,108.0,Polypedates leucomystax,Ếch cây mép trắng,Four-lined tree frog / Common tree frog,Loài,Species,
285,109.0,Hylarana macrodactyla,Chàng hiu,Guangdong frog,Loài,Species,
286,109.0,Sylvirana guentheri,Chẫu,Günther's frog,Loài,Species,
287,110.0,Hoplobatrachus rugulosus,Ếch đồng,Chinese edible frog / East Asian bullfrog,Loài,Species,
288,110.0,Fejervarya limnocharis,Ngóe,Asian grass frog / Rice paddy frog,Loài,Species,
289,110.0,Fejervarya cancrivora,Ếch cua,Crab-eating frog,Loài,Species,
290,110.0,Limnonectes poilani,Ếch poilani,Poilani's frog,Loài,Species,
291,110.0,Occidozyga lima,Cóc nước sần,Puddle frog,Loài,Species,
292,111.0,Ichthyophis kohtaoensis,Ếch giun Koh Tao,Koh Tao Island caecilian,Loài,Species,
293,112.0,Anabas testudineus,Cá Rô đồng,Climbing perch,Loài,Species,
294,113.0,Clarias batrachus,Cá Trê trắng,Walking catfish,Loài,Species,
295,113.0,Clarias gariepinus,Cá Trê phi,North African catfish / African sharptooth catfish,Loài,Species,
296,113.0,Clarias macrocephalus,Cá Trê vàng,Bighead catfish,Loài,Species,
297,114.0,Boraras urophthalmoides,Cá Trâm,Exclamation point rasbora,Loài,Species,
298,114.0,Esomus longimanus,Cá Lòng tong dài,Long-finned flying barb,Loài,Species,
